run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7568891091978652950,2025-11-04,Vil vi have kriminelle udlændinge i landet?,309700,12700,300,1032,911,https://www.tiktok.com/@madsstrange_/video/7568891091978652950
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7620492154133302531,2026-03-23,🥲🥰,93300,4231,23,158,91,https://www.tiktok.com/@madsstrange_/video/7620492154133302531
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7620144625575136534,2026-03-22,❤️‍🔥,32500,1129,32,31,30,https://www.tiktok.com/@madsstrange_/video/7620144625575136534
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7620057147446988054,2026-03-22,"Det er uværdigt, at danskerne skal leve i politikernes lommepengesamfund.",120800,5048,18,116,218,https://www.tiktok.com/@madsstrange_/video/7620057147446988054
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7618954295341370646,2026-03-19,Ulighed er ikke nødvendigvis et problem i sig selv. ,133300,7902,53,530,561,https://www.tiktok.com/@madsstrange_/video/7618954295341370646
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7618877221658316054,2026-03-19,Husk at stemme personligt! Selv hvis du er Socialdemokrat. :),24500,854,18,12,14,https://www.tiktok.com/@madsstrange_/video/7618877221658316054
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7618578493344976150,2026-03-18,"Elsker man islamistisk undertrykkelse, kan man jo meget passende bosætte sig i et islamistisk land.",7818,133,1,4,9,https://www.tiktok.com/@madsstrange_/video/7618578493344976150
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7618518988775099670,2026-03-18,Tre årsager til at stemme på mig. :),71000,2689,23,77,113,https://www.tiktok.com/@madsstrange_/video/7618518988775099670
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7618184272683224342,2026-03-17,The Tinder saga continues,77300,4133,22,101,106,https://www.tiktok.com/@madsstrange_/video/7618184272683224342
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7618105605252746518,2026-03-17,Wauw.,73500,3236,27,137,224,https://www.tiktok.com/@madsstrange_/video/7618105605252746518
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7617883571260329238,2026-03-16,"Lad os lade uafhængige forskere vurdere, om vi skal have atomkraft.",96200,4228,21,100,140,https://www.tiktok.com/@madsstrange_/video/7617883571260329238
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7617447578048711958,2026-03-15,Vores soldater fortjener en højere løn.,68300,4143,30,139,162,https://www.tiktok.com/@madsstrange_/video/7617447578048711958
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7617090048936250646,2026-03-14,"Man skal ikke have statsborgerskab, bare fordi man har et arbejde, hvis man samtidig ikke respekterer vores værdier.",6067,162,0,19,9,https://www.tiktok.com/@madsstrange_/video/7617090048936250646
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7616803975014223126,2026-03-13,Skud ud til Hummelgaard,60400,2255,21,68,91,https://www.tiktok.com/@madsstrange_/video/7616803975014223126
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7616283657183038742,2026-03-12,🤔,37500,2003,28,165,97,https://www.tiktok.com/@madsstrange_/video/7616283657183038742
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7616244259070446870,2026-03-12,,11400,464,11,18,35,https://www.tiktok.com/@madsstrange_/video/7616244259070446870
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7616034685319253250,2026-03-11,Asylstop.,7946,292,6,13,7,https://www.tiktok.com/@madsstrange_/video/7616034685319253250
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7615222991223262486,2026-03-09,🤔🤔,36300,1704,31,60,61,https://www.tiktok.com/@madsstrange_/video/7615222991223262486
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7615165902698401046,2026-03-09,"Hvis venstrefløjen kæmper for mere lighed, hvorfor fører de så en politik, der hæver uligheden?",6537,147,6,8,14,https://www.tiktok.com/@madsstrange_/video/7615165902698401046
20260330_193550_a14bfb,madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7614791826574282006,2026-03-08,Hvad gør Mettes konstante løgne ved vores tillidskultur?,10800,371,14,14,14,https://www.tiktok.com/@madsstrange_/video/7614791826574282006
