run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7605286518441118998,2026-02-10,Hvis Rusland invaderer Danmark er det så vigtigt om der en eller et missil på vej? #dkpol #danskfolkeparti #politiktok ,160200,20100,60,898,1138,https://www.tiktok.com/@magnusgeorgjensen/video/7605286518441118998
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7597847699827723542,2026-01-21,Hvad er meningen med arbejdet? #arbejde #bolig #politiktok ,89000,4976,79,402,595,https://www.tiktok.com/@magnusgeorgjensen/video/7597847699827723542
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7571906525258616086,2025-11-12,Kan man så sagsøge Morten Messerschmidt??  #dkpol #danskpolitik #feminisme #socialisme #danskfolkeparti ,278400,25200,481,2545,2844,https://www.tiktok.com/@magnusgeorgjensen/video/7571906525258616086
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7620393602933640470,2026-03-23,Forbyd reklamer i postkasser 🗣️#dkpol #politiktok ,12100,733,12,38,10,https://www.tiktok.com/@magnusgeorgjensen/video/7620393602933640470
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7620046062870433046,2026-03-22,"Valgkampen er ved at nå sin ende. Det her har været det sjoveste, jeg har prøvet. At mærke opbakningen – både her og ude i virkeligheden – føles stadig helt surrealistisk. Til alle jer, der har skrevet, og til alle jer, jeg har mødt på gaden og efter",4494,439,8,14,13,https://www.tiktok.com/@magnusgeorgjensen/video/7620046062870433046
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7619413194288696598,2026-03-20,"Søger med lys og lygte. Pls del, bare en enkelt gang. Pls :)) #kbh #bolig ",3555,295,6,32,13,https://www.tiktok.com/@magnusgeorgjensen/video/7619413194288696598
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7619059850114305302,2026-03-19,Hvordan går det med integrationen i Danmark? Skud ud RefugeesWelcome for at samle data.  #dkpol #politiktok #feminisme #socialisme #kapitalisme ,3069,280,3,23,25,https://www.tiktok.com/@magnusgeorgjensen/video/7619059850114305302
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7618599965710978326,2026-03-18,Det skal være din egen indsats og ikke dine forældres investeringer der skal definerer din fremtid #dkpol #politiktok #socialisme #feminisme #kapitalisme ,6735,403,6,16,25,https://www.tiktok.com/@magnusgeorgjensen/video/7618599965710978326
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7618134253641010455,2026-03-17,Det skal være dit arbejde ikke din adresse som definerer din økonomiske fremtid #dkpol #politiktok #socialisme #kapitalisme,4807,366,6,19,13,https://www.tiktok.com/@magnusgeorgjensen/video/7618134253641010455
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7617479851636821270,2026-03-15,Min mormor skal ikke tale med en chatbot! #dkpol #politiktok ,4740,419,7,21,12,https://www.tiktok.com/@magnusgeorgjensen/video/7617479851636821270
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7616723931168279830,2026-03-13,Skal vi gøre noget ved det? #dkpol #politiktok #socialisme #feminisme #radikalevenstre ,11200,1336,26,60,63,https://www.tiktok.com/@magnusgeorgjensen/video/7616723931168279830
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7616079373573098774,2026-03-11,Skat på boliggevinster er det vigtigste redskab til et mere fair Danmark🇩🇰. #dkpol #politiktok #kapitalisme #socialisme ,4332,237,8,9,15,https://www.tiktok.com/@magnusgeorgjensen/video/7616079373573098774
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7615971299680161046,2026-03-11,Aldersgrænse på Facebook? Hvad siger vi Mette? #dkpol #politiktok ,31400,2510,19,370,94,https://www.tiktok.com/@magnusgeorgjensen/video/7615971299680161046
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7615569220364930326,2026-03-10,Rent drikkevand ER NUMMER 1 prioritet må vi forstå! @Alex Vanopslagh #dkpol #politiktok ,4611,359,9,21,13,https://www.tiktok.com/@magnusgeorgjensen/video/7615569220364930326
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7615276441646664982,2026-03-09,Du prøver at komme ind på boligmarkedet #dkpol #politiktok #kbh #bolig ,13600,731,5,145,28,https://www.tiktok.com/@magnusgeorgjensen/video/7615276441646664982
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7614205648867200278,2026-03-06,Ærgerligt at nogle politikere insisterer på at skabe konflikt. #dkpol #politiktok #danskfolkeparti ,23400,1647,40,64,63,https://www.tiktok.com/@magnusgeorgjensen/video/7614205648867200278
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7613458967896902934,2026-03-04,Ingen har patent på at være idiot #dkpol #politiktok #danskfolkeparti #socialisme #feminisme ,59900,6825,156,396,440,https://www.tiktok.com/@magnusgeorgjensen/video/7613458967896902934
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7613128130525416726,2026-03-03,Kim fra Skjern og Alma fra Nørrebro er i samme situ… #dkpol #politiktok ,17600,1345,12,60,48,https://www.tiktok.com/@magnusgeorgjensen/video/7613128130525416726
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7612420570885410070,2026-03-01,Borgerforsalg om øvre aldersgrænse på Facebook? #dkpol #politiktok ,11400,824,20,37,29,https://www.tiktok.com/@magnusgeorgjensen/video/7612420570885410070
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7611949508229909782,2026-02-28,Måske DF kunne stoppe deres dæmonisering af danske muslimer og få proportioner ind i deres politik? #dkpol #socialisme #feminisme #kapitalisme ,29600,2987,20,187,208,https://www.tiktok.com/@magnusgeorgjensen/video/7611949508229909782
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7611480872377765142,2026-02-27,Det er tid til en frisk start🥶🧊,34500,2610,28,151,139,https://www.tiktok.com/@magnusgeorgjensen/video/7611480872377765142
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7610876166492425474,2026-02-25,Kim fra Skjern og Alma fra Nørrebro er i samme situ…. #dkpol #politiktok #socialisme #kapitalisme #kbh ,24700,1268,24,115,136,https://www.tiktok.com/@magnusgeorgjensen/video/7610876166492425474
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7610486727140035862,2026-02-24,Det tid til en frisk start. #dkpol #politiktok #kbh #radikalevenstre ,3939,365,9,42,15,https://www.tiktok.com/@magnusgeorgjensen/video/7610486727140035862
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7607525628031667478,2026-02-16,Folk i arbejde er mindre kriminelle end dem som ikke er. Who would’ve thought. #dkpol #politiktok #danskfolkeparti #socialisme #kapitalisme ,70300,5935,63,317,589,https://www.tiktok.com/@magnusgeorgjensen/video/7607525628031667478
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7606407242404859158,2026-02-13,Hvad er forskellen på Anton Westerlin og Artigeardit?🤔 #dkpol #politiktok #socialisme #kapitalisme ,44500,5116,36,246,384,https://www.tiktok.com/@magnusgeorgjensen/video/7606407242404859158
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7604107153892232470,2026-02-07,Boligkrisen handler ikke om at du bare kan flytte længere væk… #dkpol #bolig #kbh #kapitalisme #socialisme ,5652,295,15,8,10,https://www.tiktok.com/@magnusgeorgjensen/video/7604107153892232470
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7603384242751540502,2026-02-05,Corporate finance 101 er den eneste religiøse bog på CBS 📈#dkpol #danskfolkeparti #kapitalisme #feminisme #socialisme ,110200,12200,227,917,759,https://www.tiktok.com/@magnusgeorgjensen/video/7603384242751540502
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7601958782603644182,2026-02-01,Sønderthon pt 240 #søndergaard #kapitalisme #socialisme #bolig ,47200,4198,10,486,172,https://www.tiktok.com/@magnusgeorgjensen/video/7601958782603644182
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7601273649940696342,2026-01-30,Danmarkshistoriens  dårligste deal?? #dkpol #landbrug #politiktok ,39900,3072,73,145,161,https://www.tiktok.com/@magnusgeorgjensen/video/7601273649940696342
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7594552721013755158,2026-01-12,"Kære Mads, ulighed er et problem i sig selv #dkpol #kapitalisme #socialisme #politiktok ",35700,2930,42,76,216,https://www.tiktok.com/@magnusgeorgjensen/video/7594552721013755158
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7591215756415651094,2026-01-03,Er Morten Messerschmidt egentligt rigtig dansk?  #dkpol #feminisme #socialisme #politiktok ,26500,1773,103,50,108,https://www.tiktok.com/@magnusgeorgjensen/video/7591215756415651094
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7590407245104565526,2026-01-01,Den Danske Drøm   #dkpol #politiktok #danskpolitik ,3556,215,13,40,18,https://www.tiktok.com/@magnusgeorgjensen/video/7590407245104565526
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7587456364830674198,2025-12-24,"Fortæl mig, hvad du har på hjertet, og hvad du brænder for. Uanset om du er enig eller uenig med mig, så fortæl mig, hvad du synes, jeg burde læse op på eller være opmærksom på. Jeg har ikke alle svarene, men jeg vil meget gerne blive lidt klogere.  ",2737,88,14,9,10,https://www.tiktok.com/@magnusgeorgjensen/video/7587456364830674198
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7586737397983972630,2025-12-22,Glem andengenerationsindvandrere. Hvornår er man førstegenerationsdansker???  #dkpol #feminisme #socialisme #politiktok #danskpolitik ,15700,1081,44,20,88,https://www.tiktok.com/@magnusgeorgjensen/video/7586737397983972630
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7586398807458368790,2025-12-21,Er flygtninge også grunden til høje fødevarepriser??  #dkpol #feminisme #socialisme #politiktok ,43600,3668,100,170,287,https://www.tiktok.com/@magnusgeorgjensen/video/7586398807458368790
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7581189662950067478,2025-12-07,Det har intet med den danske drøm at gøre #dkpol #dansktiktok #politiktok ,5791,482,35,15,42,https://www.tiktok.com/@magnusgeorgjensen/video/7581189662950067478
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7577443369396260118,2025-11-27,Hvornår får vi gjort noget ved det danske landbrug? #dkpol #politiktok #landbrug #klima ,3860,252,19,10,8,https://www.tiktok.com/@magnusgeorgjensen/video/7577443369396260118
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7576767112178388246,2025-11-25,Det er et skråplan i dansk politik når citatfusk forgår på så højt et plan…. #dkpol #danskfolkeparti #socialisme #politiktok ,10500,1025,26,66,71,https://www.tiktok.com/@magnusgeorgjensen/video/7576767112178388246
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7575504782073384214,2025-11-22,Socialdemokratiet færdige?🥀#dkpol #danskpolitik #politiktok #kbh ,8734,484,9,14,24,https://www.tiktok.com/@magnusgeorgjensen/video/7575504782073384214
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7574855855212956950,2025-11-20,Hvorfor du skal beskattes mindre på dit arbejde #dkpol #kapitalisme #socialisme #politiktok ,27300,874,84,20,89,https://www.tiktok.com/@magnusgeorgjensen/video/7574855855212956950
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7574390710565080342,2025-11-19,Hjælp din søster og løft din bror. #kærlighed #kbh ,2655,160,5,2,5,https://www.tiktok.com/@magnusgeorgjensen/video/7574390710565080342
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7573802173717318934,2025-11-17,Bedst i test? #dkpol #danskpolitik #femisme #socialisme #danskfolkeparti ,104200,12400,78,1518,1169,https://www.tiktok.com/@magnusgeorgjensen/video/7573802173717318934
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7572973659942292758,2025-11-15,Symbol kongerne er på spil…  Forbud mod halalvarer???  #dkpol #danskpolitik #socialisme #kapitalisme #kbh ,15500,1503,77,60,105,https://www.tiktok.com/@magnusgeorgjensen/video/7572973659942292758
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7572615566473563414,2025-11-14,DF core #dkpol #danskpolitik #politiktok #kbh ,15900,1576,79,87,58,https://www.tiktok.com/@magnusgeorgjensen/video/7572615566473563414
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7572256778205859094,2025-11-13,Morten Messerschmidt vil have Danmark Tilbage!! Men hvad  betyder det? #dkpol #danskpolitik #feminisme #socialisme #danskfolkeparti ,46800,3115,101,75,190,https://www.tiktok.com/@magnusgeorgjensen/video/7572256778205859094
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7571489976152526102,2025-11-11,"Vi må kunne rumme mere i vores samfund end; Flæskesteg, Kristendom og Æ, Ø og Å #dkpol #danskpolitik #socialisme #feminisme #kbh ",14000,1072,110,49,78,https://www.tiktok.com/@magnusgeorgjensen/video/7571489976152526102
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7570706851768126742,2025-11-09,#dkpol #kapitalisme #socialisme #danskpolitik #politiktok ,35000,768,70,32,31,https://www.tiktok.com/@magnusgeorgjensen/video/7570706851768126742
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7570409822714154262,2025-11-08,#dkpol #kapitalisme #socialisme #danskpolitik #politiktok ,67100,4534,209,213,135,https://www.tiktok.com/@magnusgeorgjensen/video/7570409822714154262
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7567755524532505858,2025-11-01,#dkpol #danskpolitik #kapitalisme #politiktok ,41500,3503,85,83,111,https://www.tiktok.com/@magnusgeorgjensen/video/7567755524532505858
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7566957987726691606,2025-10-30,#dkpol #danskpolitik #dansktiktok ,10800,572,39,14,63,https://www.tiktok.com/@magnusgeorgjensen/video/7566957987726691606
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7566216533349829910,2025-10-28,#dkpol #danskpolitik #kapitalisme ,68300,5191,351,116,236,https://www.tiktok.com/@magnusgeorgjensen/video/7566216533349829910
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7564107544839441686,2025-10-22,#dkpol #danskpolitik #dkpol ,17400,1017,99,42,72,https://www.tiktok.com/@magnusgeorgjensen/video/7564107544839441686
20260330_193550_a14bfb,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,kandidat,7562516288883526934,2025-10-18,#dkpol #danskpolitik #politiktok #bolig ,83500,10200,228,421,506,https://www.tiktok.com/@magnusgeorgjensen/video/7562516288883526934
