run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,martinrahnjohansendd,Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7620786365395143938,2026-03-24,"Hvis du stadig er i tvivl om hvor du skal sætte krydset. Så synes jeg du skal stemme personligt på mig, Martin Rahn Johansen til folketingsvalget d. 24 Marts i Sjællands Storkreds🤠 Rigtig godt valg til alle💙",1067,46,0,0,1,https://www.tiktok.com/@martinrahnjohansendd/video/7620786365395143938
20260330_193550_a14bfb,martinrahnjohansendd,Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7620047207596576022,2026-03-22,"I går blev jeg i en debat kritiseret af Socialdemokratiet. De mente, at jeg sidder med korslagte arme, og at landbruget er lukket om sig selv. Det er simpelthen forkert. Jeg er stolt af at være landmand. Og i denne valgkamp har jeg været en del af et",888,57,0,2,6,https://www.tiktok.com/@martinrahnjohansendd/video/7620047207596576022
20260330_193550_a14bfb,martinrahnjohansendd,Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7619977297059237142,2026-03-22,"Ønsker du dig en ung faglig stemme på Christiansborg, der kæmper for landbruget, vores virksomheder og et Danmark i bedre balance. Så synes jeg du skal stemme personligt på mig, Martin Rahn Johansen til folketingsvalget d. 24 Marts i Sjællands Storkr",807,30,0,0,2,https://www.tiktok.com/@martinrahnjohansendd/video/7619977297059237142
20260330_193550_a14bfb,martinrahnjohansendd,Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7617829185112804630,2026-03-16,"Jeg håber, du vil se videoen helt til ende, selv om den er lidt længere end normalt. Jeg deler den, fordi jeg er oprigtigt bekymret. Louise er sej. Hun viser sin hverdag, forklarer det arbejde hun laver, og prøver at skabe forståelse for et erhverv, ",6476,344,8,36,25,https://www.tiktok.com/@martinrahnjohansendd/video/7617829185112804630
20260330_193550_a14bfb,martinrahnjohansendd,Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7616265466390007062,2026-03-12,"Dansk statsborgerskab skal ikke gives i 18 års fødselsdagsgave 🎂🇩🇰 Dansk statsborgerskab er noget af det fineste, man kan få. Det er ikke noget, man bare skal have stukket i hånden på sin 18 års fødselsdag. At blive dansk statsborger handler om langt",1472,57,4,4,3,https://www.tiktok.com/@martinrahnjohansendd/video/7616265466390007062
20260330_193550_a14bfb,martinrahnjohansendd,Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7615934641018621206,2026-03-11,"Jeg er stolt af at være landmand. Jeg elsker dansk landbrug. Jeg kæmper for at mine gode kolleger kan drive landbrug i fremtiden. Landbruget er noget af det vigtigste vi har.  Derfor skal det udvikles og ikke afvikles! Er du enig, så kan du stemme på",6961,568,9,19,47,https://www.tiktok.com/@martinrahnjohansendd/video/7615934641018621206
20260330_193550_a14bfb,martinrahnjohansendd,Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7615300295786056982,2026-03-09,Socialdemokratiet vil have flere af dine penge. Jeg mener du selv burde have dem. Så enkelt er det. Danskerne arbejder. Danskerne knokler. Danskerne tager ansvar. Alligevel er svaret fra Socialdemokratiet næsten altid det samme. Mere skat. Flere afgi,2156,89,1,12,4,https://www.tiktok.com/@martinrahnjohansendd/video/7615300295786056982
20260330_193550_a14bfb,martinrahnjohansendd,Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7614139422673472790,2026-03-06,"Med lov skal land bygges. 🇩🇰 Men lige nu føles det som om nogen har glemt den del. Den grønne trepart taler pænt om klima og ansvar 🌱📋 Men prisen bliver sendt direkte til danske landmænd, når ejendomsretten bliver pillet fra hinanden bid for bid 🚜 Nå",712,30,7,0,2,https://www.tiktok.com/@martinrahnjohansendd/video/7614139422673472790
20260330_193550_a14bfb,martinrahnjohansendd,Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7612688538705939734,2026-03-02,"Socialdemokratiet vil pludselig “gøre det lettere” at købe bolig uden for de store byer og sætte gang i landdistrikterne. Det lyder pænt. Det er bare ikke troværdigt. 🤨 I 3 år har de ført politik, der gør livet sværere herude: 🌾 Store jernmarker og k",3596,176,6,1,9,https://www.tiktok.com/@martinrahnjohansendd/video/7612688538705939734
20260330_193550_a14bfb,martinrahnjohansendd,Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7608223477136592130,2026-02-18,"TILLYKKE KVINFO I HAR LØST LIGESTILLINGEN 🎉 Jeg ser, at KVINFO nu har fået øje på et nyt ligestillingsproblem: snerydning ❄️🚜 Det er faktisk lidt rørende. For hvis vi er nået dertil, hvor den store kamp handler om rækkefølgen på plov og salt, så må d",1287,50,7,1,2,https://www.tiktok.com/@martinrahnjohansendd/video/7608223477136592130
20260330_193550_a14bfb,martinrahnjohansendd,Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7607532979279154454,2026-02-16,"DE HOLDER DANMARK I GANG NÅR VI ANDRE SOVER👏🏻 I nat og tidlig morgen har der igen været folk på vejene, mens resten af Danmark sov. Landmænd, entreprenører og private, der stiller op 24/7 for at rydde sne og salte veje. 🚜❄️ Det er sådan noget, der få",1291,62,6,0,5,https://www.tiktok.com/@martinrahnjohansendd/video/7607532979279154454
20260330_193550_a14bfb,martinrahnjohansendd,Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7605596760278355222,2026-02-11,"Det sejler med urenset spildevand i Danmark 🚨💧 Punktkilderapport 2024 bruges til store beslutninger om vandmiljøet. Men virkeligheden er, at datagrundlaget halter alvorligt: ➡️ Kun 553 ud af 4.195 overløbsbygværker har flowmåling (under 15 %) ➡️ Ca. ",3004,118,7,31,8,https://www.tiktok.com/@martinrahnjohansendd/video/7605596760278355222
