run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,miatang.dk,Mia Tang,Det Konservative Folkeparti,Københavns Storkreds,kandidat,7620571916348181782,2026-03-23,"Valget er her. Nu smider jeg fløjlshandskerne!  Jeg er dødtræt af levebrødspolitikere, som skifter kurs alt efter, hvor der er stemmer at hente. Det er simpelthen så utroværdigt.   Og jeg er dødtræt af røde partier, der kun kan finde ud af at bruge a",1476,65,3,0,2,https://www.tiktok.com/@miatang.dk/video/7620571916348181782
20260330_193550_a14bfb,miatang.dk,Mia Tang,Det Konservative Folkeparti,Københavns Storkreds,kandidat,7620480534921350423,2026-03-23,"Jeg orker ikke politikere, som gerne vil fremstå grønne uden at få løst nogle af de reelle problemer.  Som når der løber urenset spildevand direkte ud i Københavns Havn eller Øresund.  Det er ulækkert, og det er skadeligt for både natur, dyr og menne",4887,195,10,10,11,https://www.tiktok.com/@miatang.dk/video/7620480534921350423
20260330_193550_a14bfb,miatang.dk,Mia Tang,Det Konservative Folkeparti,Københavns Storkreds,kandidat,7620480195778202902,2026-03-23,"Fem gode grunde til at stemme personligt på mig, når du står i stemmeboksen 😊  Stem på mig fordi:  - Jeg er værdikriger. Jeg kommer ALDRIG til at gå på kompromis med vores danske værdier, frihedsrettigheder og kulturarv.  - Jeg har næsten 30 års erhv",838,10,3,0,0,https://www.tiktok.com/@miatang.dk/video/7620480195778202902
20260330_193550_a14bfb,miatang.dk,Mia Tang,Det Konservative Folkeparti,Københavns Storkreds,kandidat,7619964670367091990,2026-03-22,"Der er noget helt skævt i parkeringspolitikken i København! Rundt omkring i byen står der en hel masse parkeringspladser tomme - fordi de er reserveret til delebiler.  Og samtidig kører helt almindelige bilister rundt og leder efter en plads, mens ko",38100,1073,64,68,42,https://www.tiktok.com/@miatang.dk/video/7619964670367091990
20260330_193550_a14bfb,miatang.dk,Mia Tang,Det Konservative Folkeparti,Københavns Storkreds,kandidat,7619456957346286870,2026-03-20,"Jeg arbejder for en strammere udlændinge- og integrationspolitik, fordi vi har brug for den. Ikke mindst her i hovedstadsområdet.  De københavnske fængsler er totalt domineret af udlændinge og indvandrere, som fylder to ud af tre celler.  Og ser vi p",3970,113,10,7,10,https://www.tiktok.com/@miatang.dk/video/7619456957346286870
20260330_193550_a14bfb,miatang.dk,Mia Tang,Det Konservative Folkeparti,Københavns Storkreds,kandidat,7619327062918335746,2026-03-20,"Sidste chance for at brevstemme 💚.  Bare rolig, når du det ikke i dag kan du stadig stemme på valgdagen 24. Marts - som  90% af danskerne gør.  Stem personligt, Mia Tang - Det Konservative Folkeparti  #politik #huskatstemme #fv26",1047,25,2,0,0,https://www.tiktok.com/@miatang.dk/video/7619327062918335746
20260330_193550_a14bfb,miatang.dk,Mia Tang,Det Konservative Folkeparti,Københavns Storkreds,kandidat,7618323406391430422,2026-03-17,"Skyderier i gaderne må aldrig blive hverdag, og man behøver kun se mod Sverige for at konstatere, hvor galt det kan gå.  Det er både dybt bekymrende og dybt provokerende, når bander lokker purunge svenskere eller danskere til at skyde mod nogle, de v",784,24,1,0,0,https://www.tiktok.com/@miatang.dk/video/7618323406391430422
20260330_193550_a14bfb,miatang.dk,Mia Tang,Det Konservative Folkeparti,Københavns Storkreds,kandidat,7618122099860851990,2026-03-17,"Da Sass-Larsen slap med fire måneders fængsel for besiddelse af videoer og fotos af overgreb mod børn, blev jeg vred.  Når du køber materiale for at se et lille barn blive voldtaget, så skal straffen være langt hårdere.  Det barn er et ødelagt liv i ",6652,224,7,14,24,https://www.tiktok.com/@miatang.dk/video/7618122099860851990
20260330_193550_a14bfb,miatang.dk,Mia Tang,Det Konservative Folkeparti,Københavns Storkreds,kandidat,7618121294294371606,2026-03-17,"Om præcis én uge skal vi til stemmeurnerne.  Jeg kæmper for at få lov til at være DIN repræsentant i Folketinget, som du ved, at du altid kan komme i dialog med, når vigtige sager melder sig.  Du som… … går op i danske værdier.  … ønsker en stram udl",739,19,1,0,1,https://www.tiktok.com/@miatang.dk/video/7618121294294371606
20260330_193550_a14bfb,miatang.dk,Mia Tang,Det Konservative Folkeparti,Københavns Storkreds,kandidat,7618120948151029014,2026-03-17,"Død over papsugerør! Hvordan så dårlig en idé nogensinde blev vedtaget, det fatter jeg simpelthen ikke. Jo, vi skal den grønne omstilling, men må vi bede om noget grøn fornuft?  Her sidder jeg med blødt pap i munden, mens Donald Trump råber ”drill, b",5351,135,11,14,16,https://www.tiktok.com/@miatang.dk/video/7618120948151029014
