run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,nicklasverne,Nicklas Verne,Det Konservative Folkeparti,Vestjyllands Storkreds,kandidat,7614984853674773782,2026-03-08,"Vi skal have løftet handicapområdet. Det kræver en nationalisering og en handicapminister. Det har jeg foreslået, og jeg var i dag på TV Midt/Vest for at sprede budskabet. #folketingsvalget #vestjylland #fv26 #kandidat #nicklas #verne #konservativ #u",7249,357,20,15,13,https://www.tiktok.com/@nicklasverne/video/7614984853674773782
20260330_193550_a14bfb,nicklasverne,Nicklas Verne,Det Konservative Folkeparti,Vestjyllands Storkreds,kandidat,7615768625097477398,2026-03-11,"Tak til vores dygtige partiformand Mona Juul for at sætte dette vigtige emne på dagsordenen! Der sidder mange mennesker rundt omkring i Danmark, der har handicapområdet tæt på livet.  Det kan være en pårørende eller endda dem selv, det drejer sig om.",14500,490,5,48,17,https://www.tiktok.com/@nicklasverne/video/7615768625097477398
20260330_193550_a14bfb,nicklasverne,Nicklas Verne,Det Konservative Folkeparti,Vestjyllands Storkreds,kandidat,7618188074131950870,2026-03-17,Unboxer lige valgplakater 7 dage før valget pga. forsinkelser. Ønsk mig held og lykke 🙃 #folketingsvalg ,22100,365,51,3,7,https://www.tiktok.com/@nicklasverne/video/7618188074131950870
20260330_193550_a14bfb,nicklasverne,Nicklas Verne,Det Konservative Folkeparti,Vestjyllands Storkreds,kandidat,7620459120805825795,2026-03-23,Jeg blev inviteret med på P4 radio. Husk at stemme i morgen💚#valg #folketingsvalget #folketingsvalg ,5437,238,16,1,8,https://www.tiktok.com/@nicklasverne/video/7620459120805825795
20260330_193550_a14bfb,nicklasverne,Nicklas Verne,Det Konservative Folkeparti,Vestjyllands Storkreds,kandidat,7620180344033053974,2026-03-22,"Vi skal bevare SU’en, som den er – men sikre, at den følger inflationen, så den også i fremtiden kan dække studerendes reelle leveomkostninger #folketingsvalget #vestjylland #kandidat #fv26 #nicklas #verne #konservativ #ung #valg",14200,264,17,2,6,https://www.tiktok.com/@nicklasverne/video/7620180344033053974
20260330_193550_a14bfb,nicklasverne,Nicklas Verne,Det Konservative Folkeparti,Vestjyllands Storkreds,kandidat,7620150568157187350,2026-03-22,"I dag har Bjerringbro fået flyers i postkassen om lokale sager, som også er vigtige, at vi tager med på Christiansborg. I Midt- og Vestjylland oplever vi, at lokale skoler lukker — vi oplever en haltende offentlig transport — og vi oplever, at vi man",7249,215,11,17,2,https://www.tiktok.com/@nicklasverne/video/7620150568157187350
20260330_193550_a14bfb,nicklasverne,Nicklas Verne,Det Konservative Folkeparti,Vestjyllands Storkreds,kandidat,7619332724444138774,2026-03-22,"Vi skal have hårdere straffe for grov vold og overgreb. Det er vigtigt, at vi altid står på offerets side. #folketingsvalget #vestjylland #kandidat #fv26 #nicklas #verne #konservativ #ung #valg",781,22,3,0,1,https://www.tiktok.com/@nicklasverne/video/7619332724444138774
20260330_193550_a14bfb,nicklasverne,Nicklas Verne,Det Konservative Folkeparti,Vestjyllands Storkreds,kandidat,7619489731176418582,2026-03-22,Vi skal styrke vores forsvar! Det kræver konservativ politik. #folketingsvalget #vestjylland #kandidat #fv26 #nicklas #verne #konservativ #ung #valg,1290,47,0,1,1,https://www.tiktok.com/@nicklasverne/video/7619489731176418582
20260330_193550_a14bfb,nicklasverne,Nicklas Verne,Det Konservative Folkeparti,Vestjyllands Storkreds,kandidat,7619683496235207938,2026-03-21,"Tak til alle de gode mennesker rundt omkring. Det har været overvældende med alt støtten derude! Jeg håber, at I vil stemme på mig d. 24 marts 💚",4100,173,11,6,3,https://www.tiktok.com/@nicklasverne/video/7619683496235207938
20260330_193550_a14bfb,nicklasverne,Nicklas Verne,Det Konservative Folkeparti,Vestjyllands Storkreds,kandidat,7619330934273379606,2026-03-21,"Handicapområdet er ikke ligestillet - hjælpen afhænger af hvilken kommune, som du bor i - kvaliteten af din hjælp skal ikke være et lotteri; det skal være en garanti! Er du enig? Så kan du stemme på Nicklas Verne d. 24 marts #folketingsvalget #vestjy",801,18,0,0,0,https://www.tiktok.com/@nicklasverne/video/7619330934273379606
