run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7606791438755466518,2026-02-14,"Tilbagesvar til @Mrdrive.dk-Køreskole  Det skal lige siges, at jeg ikke mener, at Mr. Drive har doneret penge med den hensigt at støtte en organisation, som tidligere er blevet taget i at udtale sig hadsk om jøder, kvinder og vantro. Jeg påpeger blot",93100,3052,46,184,221,https://www.tiktok.com/@romeotroelsgaard/video/7606791438755466518
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7594492570420514070,2026-01-12,Garderen Marius skal hyldes - ikke straffes! #dkpol #danskfolkeparti #klimademo #livgarden  ,102300,6474,72,239,426,https://www.tiktok.com/@romeotroelsgaard/video/7594492570420514070
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7622740037255351574,2026-03-29,Sikandar Siddique og Frie Grønne skal seriøst stoppes! #danskfolkeparti #dkpol #danskpolitik #danskfolkepartisungdom #mortenmesserschimdt ,3769,285,8,24,17,https://www.tiktok.com/@romeotroelsgaard/video/7622740037255351574
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7622395147627613462,2026-03-28,Islam er faktisk det der er klamt. #danskfolkeparti #dkpol #folketingsvalg #danskpolitik #danskfolkepartisungdom ,3632,246,7,20,11,https://www.tiktok.com/@romeotroelsgaard/video/7622395147627613462
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7622341930290089238,2026-03-28,En lille bid af Morten Messerschmidts tale fra valgaftenen på Christiansborg. Vi sætter danskerne først!🇩🇰#danskfolkeparti #dkpol #mortenmesserschimdt #danskpolitik #danskfolkepartisungdom ,1865,112,4,20,7,https://www.tiktok.com/@romeotroelsgaard/video/7622341930290089238
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7621975851990633750,2026-03-27,Alle elsker Pia❤️ Hun er allerede savnet! #danskfolkeparti #dkpol #mortenmesserschimdt #piakjærsgaard #danskfolkepartisungdom ,12300,592,16,24,35,https://www.tiktok.com/@romeotroelsgaard/video/7621975851990633750
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7621949510603787542,2026-03-27,Danmark skal være en stærk nation igen! #danskfolkeparti #dkpol #mortenmesserschimdt #danskfolkepartisungdom #danskpolitik ,7335,381,17,18,21,https://www.tiktok.com/@romeotroelsgaard/video/7621949510603787542
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7621914274964802838,2026-03-27,Messerschmidt x Kanye🔥🔥 Dansk Folkeparti er tilbage! #danskfolkeparti #dkpol #folketingsvalg #mortenmesserschimdt #danskfolkepartisungdom ,6814,518,24,64,30,https://www.tiktok.com/@romeotroelsgaard/video/7621914274964802838
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7620863554714979606,2026-03-24,Min optræden i TV2 Fyn omhandlede dødstrusler. #danskfolkeparti #dkpol #folketingsvalg #tv2fyn #mortenmesserschimdt @TV 2 Fyn ,6103,276,12,28,12,https://www.tiktok.com/@romeotroelsgaard/video/7620863554714979606
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7620836779192618262,2026-03-24,STEM DF FOR DERES SKYLD!❤️ #danskfolkeparti #dkpol #folketingsvalg #rejshjem #mortenmesserschimdt ,13300,793,23,87,48,https://www.tiktok.com/@romeotroelsgaard/video/7620836779192618262
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7620815638826716418,2026-03-24,STEM ROMEO TROELSGAARD!🇩🇰 #danskfolkeparti #dkpol #folketingsvalg #rejshjem #mortenmesserschimdt ,1868,76,7,19,6,https://www.tiktok.com/@romeotroelsgaard/video/7620815638826716418
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7620746769231662358,2026-03-24,Kære fynbo. Jeg vil sætte stor pris på din stemme i dag!🇩🇰 #danskfolkeparti #dkpol #folketingsvalg #mortenmesserschimdt #danskfolkepartisungdom ,9663,380,18,67,17,https://www.tiktok.com/@romeotroelsgaard/video/7620746769231662358
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7620722796062100758,2026-03-24,Remigration nu!!! STEM DF I DAG! #danskfolkeparti #dkpol #mortenmesserschimdt #folketingsvalg #rejshjem ,3124,219,4,13,12,https://www.tiktok.com/@romeotroelsgaard/video/7620722796062100758
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7620586632177143062,2026-03-23,Jeg venter fra nu indtil solen brænder ud! #danskfolkeparti #dkpol #mortenmesserschimdt #folketingsvalg #rejshjem ,1480,112,7,29,7,https://www.tiktok.com/@romeotroelsgaard/video/7620586632177143062
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7620541643967499542,2026-03-23,Vi SKAL slå hårdt ned på den her type kriminalitet! #danskfolkeparti #dkpol #danskfolkepartisungdom #folketingsvalg #rejshjem ,6659,503,16,84,34,https://www.tiktok.com/@romeotroelsgaard/video/7620541643967499542
20260330_193550_a14bfb,romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,kandidat,7620518308990766358,2026-03-23,Stem på en ung fynbo der tager ungdommen seriøst! #danskfolkeparti #dkpol #mortenmesserschimdt #danskpolitik #dansktiktok ,1517,88,10,40,7,https://www.tiktok.com/@romeotroelsgaard/video/7620518308990766358
