run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,sfpolitik,SF,SF - Socialistisk Folkeparti,Landsplan,parti_national,7613788722345102614,2026-03-05,Vlog fra Højskolen 🗳️,174100,12500,45,543,579,https://www.tiktok.com/@sfpolitik/video/7613788722345102614
20260330_193550_a14bfb,sfpolitik,SF,SF - Socialistisk Folkeparti,Landsplan,parti_national,7618991273541815555,2026-03-19,Skarpe spørgsmål fra 2.A🫶,210000,12600,69,375,430,https://www.tiktok.com/@sfpolitik/video/7618991273541815555
20260330_193550_a14bfb,sfpolitik,SF,SF - Socialistisk Folkeparti,Landsplan,parti_national,7613058863671119126,2026-03-03,Frenemies❤️,270900,18700,68,586,737,https://www.tiktok.com/@sfpolitik/video/7613058863671119126
20260330_193550_a14bfb,sfpolitik,SF,SF - Socialistisk Folkeparti,Landsplan,parti_national,7623048647281888534,2026-03-30,Lost files fra valgkampen del 1🫶,3065,158,3,1,5,https://www.tiktok.com/@sfpolitik/video/7623048647281888534
20260330_193550_a14bfb,sfpolitik,SF,SF - Socialistisk Folkeparti,Landsplan,parti_national,7621602897779805462,2026-03-26,"Tak for en fantastisk valgkamp ❤️ kampen fortsætter, og vil vil gerne have dig med ombord. link i bio 🔗",14200,560,8,9,20,https://www.tiktok.com/@sfpolitik/video/7621602897779805462
20260330_193550_a14bfb,sfpolitik,SF,SF - Socialistisk Folkeparti,Landsplan,parti_national,7621167425941196054,2026-03-25,Tak for tilliden. Tak for stemmerne. TAK FOR I GÅR ❤️❤️❤️,40200,2101,40,54,60,https://www.tiktok.com/@sfpolitik/video/7621167425941196054
20260330_193550_a14bfb,sfpolitik,SF,SF - Socialistisk Folkeparti,Landsplan,parti_national,7620819900562558230,2026-03-24,Pia på Nærum Gymnasium🫶,33000,1619,4,289,42,https://www.tiktok.com/@sfpolitik/video/7620819900562558230
20260330_193550_a14bfb,sfpolitik,SF,SF - Socialistisk Folkeparti,Landsplan,parti_national,7620750996142181654,2026-03-24,Husk at stemme❤️,214300,16500,124,705,378,https://www.tiktok.com/@sfpolitik/video/7620750996142181654
20260330_193550_a14bfb,sfpolitik,SF,SF - Socialistisk Folkeparti,Landsplan,parti_national,7620540626542562582,2026-03-23,Stem SF i morgen<3,23700,1042,25,32,20,https://www.tiktok.com/@sfpolitik/video/7620540626542562582
20260330_193550_a14bfb,sfpolitik,SF,SF - Socialistisk Folkeparti,Landsplan,parti_national,7620471275009445142,2026-03-23,venner og uenige siden 1987🤝,128900,5643,12,84,140,https://www.tiktok.com/@sfpolitik/video/7620471275009445142
20260330_193550_a14bfb,sfpolitik,SF,SF - Socialistisk Folkeparti,Landsplan,parti_national,7620394269617966358,2026-03-23,"Stem SF i morgen, så vi kan få en rød regering ❤️",9832,354,6,59,9,https://www.tiktok.com/@sfpolitik/video/7620394269617966358
20260330_193550_a14bfb,sfpolitik,SF,SF - Socialistisk Folkeparti,Landsplan,parti_national,7620101177421614358,2026-03-22,Frenemies er tilbage<3,164100,8786,19,141,297,https://www.tiktok.com/@sfpolitik/video/7620101177421614358
20260330_193550_a14bfb,sfpolitik,SF,SF - Socialistisk Folkeparti,Landsplan,parti_national,7619734381304761622,2026-03-21,Pias latter til sidst🩷,18800,942,8,20,20,https://www.tiktok.com/@sfpolitik/video/7619734381304761622
