run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7617036201547042070,2026-03-14,Gratis tandlæge er sund fornuft! Lad os få mere lighed i sundhed - lad os gøre tandlægen gratis ❤️💚 #sundhed #dkpol #socialist #fyp #for ,2560,95,15,5,7,https://www.tiktok.com/@sinemdybvaddemirehl/video/7617036201547042070
20260330_193550_a14bfb,sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7611972579368242454,2026-02-28,På gaden for bl.a. gratis tandlæge og receptpligtig medicin 🙌 I gang for en RIGTIG rød regering ❤️💚 #dkpol #Hillerød #Nordsjælland #fyp #foryoupage❤️❤️ ,63500,2802,118,464,212,https://www.tiktok.com/@sinemdybvaddemirehl/video/7611972579368242454
20260330_193550_a14bfb,sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7620781614276037910,2026-03-24,Jeg har lyttet til de gode råd om at rejse hjem ❤️ Ses! 🙌 #dkpol #fyp #for #socialist #foryoupage❤️❤️ ,2795,186,6,2,8,https://www.tiktok.com/@sinemdybvaddemirehl/video/7620781614276037910
20260330_193550_a14bfb,sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7620547741139078422,2026-03-23,Så er det i morgen  ❤️ - Husk du kan stemme på mig i hele Nordsjællands Storkreds!  Lad os male Danmark rød og grøn ❤️💚 #dkpol #fyp #socialist #stem #for ,981,64,2,1,1,https://www.tiktok.com/@sinemdybvaddemirehl/video/7620547741139078422
20260330_193550_a14bfb,sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7620508273065594134,2026-03-23,"I mit Danmark er der plads til mangfoldighed, kærlighed og respekt 🫶 Lyt til @Diana Diamond ; Mere glimmer - mindre had 💃✨️ I Enhedslisten er vi indiskutabelt altid på LGBT+ side 🏳️‍🌈 #dkpol #dragqueen #lgbt  #equality #fyp ",2400,233,12,1,8,https://www.tiktok.com/@sinemdybvaddemirehl/video/7620508273065594134
20260330_193550_a14bfb,sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7620349053859089686,2026-03-23,"Gratis tandlæge - ja tak! Det er en kæmpe investering i os allesammen, at vi får gjort tandlægen skattebetalt. Det kan mindske ensomhed, det kan få flere i arbejde og det er forebyggende ift. andre sygdomme i kroppen ❤️ #dkpol #sundhed  #fyp #sociali",2215,112,8,20,3,https://www.tiktok.com/@sinemdybvaddemirehl/video/7620349053859089686
20260330_193550_a14bfb,sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7620195684230122774,2026-03-22,"Tak for en fantastisk nødhjælpsbanko! 😍 @Diana Diamond styrede showet, og fik os nogenlunde sikkert i havn! 💃 Fantastisk oplevelse for både de unge og de rutinerede medlemmer 🫶 Pengene går ubeskåret til Ukraine, Sudan og Gaza vha. @Indsamling  #dkpol",665,22,1,1,0,https://www.tiktok.com/@sinemdybvaddemirehl/video/7620195684230122774
20260330_193550_a14bfb,sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7619798047073094934,2026-03-21,Vær naturens stemme d.24. marts ❤️💚 #dkpol #natur #fyp #nature #klima ,1934,98,11,35,4,https://www.tiktok.com/@sinemdybvaddemirehl/video/7619798047073094934
20260330_193550_a14bfb,sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7619367852910415127,2026-03-20,"Danmark er et besynderligt land ... vi tager mere hensyn til 6.000 landmænds interesser, fremfor vores dyrs, vores naturs og os 6.000.000 menneskers. Lad det her valg være et valg hvor det rene drikkevand, hvor naturen og hvor svinene kommer først 💚 ",610,40,3,0,2,https://www.tiktok.com/@sinemdybvaddemirehl/video/7619367852910415127
20260330_193550_a14bfb,sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7618884107971349782,2026-03-19,Flere står hver måned og skal træffe et umuligt valg. Skal de købe mad eller skal de købe deres livsnødvendige medicin? Sådan et valg burde ingen skulle stå med. Slet ikke i et rigt land som vores. Derfor vil vi I Enhedslisten indføre at receptpligti,17800,812,55,52,68,https://www.tiktok.com/@sinemdybvaddemirehl/video/7618884107971349782
