run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,socialdemokratiskungdom,DSU,Socialdemokratiet,Landsplan,ungdomsorganisation,7620829939419450646,2026-03-24,Four more years 💥 #fyp #unge #valg #politiktok #socialdemokratiet ,2337,109,4,2,6,https://www.tiktok.com/@socialdemokratiskungdom/video/7620829939419450646
20260330_193550_a14bfb,socialdemokratiskungdom,DSU,Socialdemokratiet,Landsplan,ungdomsorganisation,7620334661478124822,2026-03-23,Stem socialdemokratisk og rødt i morgen for rent drikkevand og et bedre landbrug 💥 #fyp #unge #valg #politiktok #dsu ,367900,15500,212,482,991,https://www.tiktok.com/@socialdemokratiskungdom/video/7620334661478124822
20260330_193550_a14bfb,socialdemokratiskungdom,DSU,Socialdemokratiet,Landsplan,ungdomsorganisation,7613051610503187734,2026-03-03,Vi har også lidt svært ved at se det 🥰 #fyp #dsu #socialdemokratiet #unge #valg ,102400,7846,50,873,634,https://www.tiktok.com/@socialdemokratiskungdom/video/7613051610503187734
20260330_193550_a14bfb,socialdemokratiskungdom,DSU,Socialdemokratiet,Landsplan,ungdomsorganisation,7620763963344669974,2026-03-24,Slay Helle 💅 #fyp #unge #valg #politiktok #socialdemokratiet ,2391,130,1,2,2,https://www.tiktok.com/@socialdemokratiskungdom/video/7620763963344669974
20260330_193550_a14bfb,socialdemokratiskungdom,DSU,Socialdemokratiet,Landsplan,ungdomsorganisation,7620712975200161026,2026-03-24,"I videoen er der 4 grunde til, hvorfor du skal stemme på Socialdemokratiet ❤️‍🔥  God valgdag 🗳️ #fyp #unge #valg #politiktok #socialdemokratiet ",2089,67,3,1,1,https://www.tiktok.com/@socialdemokratiskungdom/video/7620712975200161026
20260330_193550_a14bfb,socialdemokratiskungdom,DSU,Socialdemokratiet,Landsplan,ungdomsorganisation,7620191034047286550,2026-03-22,DSU når det er bedst ❤️ #fyp #unge #valg #politiktok #socialdemokratiet ,3446,83,1,2,4,https://www.tiktok.com/@socialdemokratiskungdom/video/7620191034047286550
20260330_193550_a14bfb,socialdemokratiskungdom,DSU,Socialdemokratiet,Landsplan,ungdomsorganisation,7620106459853999382,2026-03-22,8500 kr for et værelse… 💸 Det er allerede dyrt at bo i storbyen. Liberal Alliance vil gøre det endnu dyrere - og gå grådige udlejeres ærinde. Det er ikke rimeligt! #fyp #unge #bolig #valg #politiktok ,3862,95,5,2,0,https://www.tiktok.com/@socialdemokratiskungdom/video/7620106459853999382
20260330_193550_a14bfb,socialdemokratiskungdom,DSU,Socialdemokratiet,Landsplan,ungdomsorganisation,7620017778073947414,2026-03-22,Pest eller kolera? 🤭👀 #fyp #unge #valg #politiktok #dsu ,18000,532,8,41,13,https://www.tiktok.com/@socialdemokratiskungdom/video/7620017778073947414
20260330_193550_a14bfb,socialdemokratiskungdom,DSU,Socialdemokratiet,Landsplan,ungdomsorganisation,7619069173594885398,2026-03-19,Vi kan godt lide en statsminister der synes 🏳️‍🌈🏳️‍⚧️ er vigtigt ❤️ #fyp #unge #pride #lgbt #socialdemokratiet ,11400,476,12,25,17,https://www.tiktok.com/@socialdemokratiskungdom/video/7619069173594885398
20260330_193550_a14bfb,socialdemokratiskungdom,DSU,Socialdemokratiet,Landsplan,ungdomsorganisation,7618953013826309398,2026-03-19,"Scroll videre, hvis du er imod retfærdig pension 🤭 #fyp #unge #valg #dsu #socialdemokratiet ",2840,156,3,1,4,https://www.tiktok.com/@socialdemokratiskungdom/video/7618953013826309398
