run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7617567582601645334,2026-03-15,"Du har hørt om Fyn er Fin, men nu er det tid til ✨Sjælland er Skøn✨ Jeg går til valg på at vi skal skabe attraktive landdistrikter hvor unge har lyst til at bo - ligesom jeg selv tæller dagene til at jeg flytter i et hus i provinsen med baghave og hø",1043,60,5,4,3,https://www.tiktok.com/@sofiewlholm/video/7617567582601645334
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7616627437702581526,2026-03-13,Intet som kombinationen af akademisk og politisk stress der kan få mig til at yearn for the kitchen🫶  Jeg har stolt trad-wife hobbier uden trad-wife holdninger🫡,1400,29,1,1,1,https://www.tiktok.com/@sofiewlholm/video/7616627437702581526
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7616235882177137942,2026-03-12,"Den billig grøn energi og grønne virksomheder skal være drivkraften i udviklingen af Sjællands provins🌱 Men det kræver at naboer og kommuner får medejerskab og økonomiske gevinster, når de er med til at løfte vores fælles grønne fremtid.  Det vil  sk",1074,24,0,2,1,https://www.tiktok.com/@sofiewlholm/video/7616235882177137942
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7615541284521970966,2026-03-10,"Læger læser ikke 6 år på universitetet efterfulgt af et års KBU, og flere års intro og uddannelsesstillinger, blot for at Socialdemokratiet skal forhindre dem i at holde deres lægeløfte.  Vi skal passe på vores sundhedspersonale, men det gør vi ikke ",8529,403,5,14,19,https://www.tiktok.com/@sofiewlholm/video/7615541284521970966
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7614919238402329878,2026-03-08,"Vidste du at vi ikke har lige gode dyremodeller for mænd og kvinder?  Vores vidensefterslæb på forskning strækker sig nemlig helt ind i det basale. Det syntes jeg er helt vanvittigt.  Vi skal lade forskere om at forske, men vi har et politisk ansvar ",3375,159,7,4,4,https://www.tiktok.com/@sofiewlholm/video/7614919238402329878
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7614165459558042902,2026-03-06,"Vi har brug for at det er spændende at arbejde som læge på hele Sjælland!  I Køge er vi gået i gang med at uddanne medicinstuderende, og de er heldigvis rigtig glade for det! Men det er ikke nok at vi flytter uddannelsen tættere på patienterne.  Vi s",7462,176,7,5,11,https://www.tiktok.com/@sofiewlholm/video/7614165459558042902
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7613864542304619798,2026-03-05,"Laboratoriearbejde er meget som at være med i Den Store Bagedyst, og nogen gange får man byttet rundt på salt og sukker🫠 Jamen jeg må jo prøve igen om 6 dage når mine celler er groet nok🧫",1547,48,0,2,3,https://www.tiktok.com/@sofiewlholm/video/7613864542304619798
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7613305478243814678,2026-03-04,Ville det ✨ordentlige✨ ikke være at lade forurenen betale?  Så meget for at det skal være billigere at være dansker🫠 Jeg vil hellere passe på Sjællands grundvand end på ekstrem animalsk produktion. ,3111,229,15,5,12,https://www.tiktok.com/@sofiewlholm/video/7613305478243814678
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7612373547050142998,2026-03-01,"Vi lever af viden i Danmark🧫 Men det kræver modige politikere der både forstår naturvidenskab, og tør satse på og investerer i forskning og innovation - og det er netop den slags politiker jeg vil være🧪  #dkpol #womeninstem #stem",2706,158,10,2,6,https://www.tiktok.com/@sofiewlholm/video/7612373547050142998
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7611624213216021782,2026-02-27,"Så er vi i gang igen! Mine celler overlevede efterårets valgkamp, så jeg håber de klare en tur mere🧫🫡 #politik #womeninstem ",3567,126,2,1,3,https://www.tiktok.com/@sofiewlholm/video/7611624213216021782
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7607540449825344790,2026-02-16,Har du overvejet hvor meget læger og fastelavnsboller minder om hinanden? 🍩 Det har jeg nemlig tænkt en del over. Så mens jeg nyder mine fastelavnsboller så tænker jeg også på hvordan vi bedst skaber retfærdig lægedækning i hele vores landsdel. ,2158,66,3,4,4,https://www.tiktok.com/@sofiewlholm/video/7607540449825344790
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7601494033352887574,2026-01-31,"Ligestilling er ikke et nulsumsspil - det er ikke en lagkage hvor vi skal slås om det største stykke 🍰  Så fokus på partnervold er ikke det samme som glemte ofre i bandekonflikter. Det er ikke en kamp mellem kønnene men en kamp mod vold og drab, uans",8236,340,71,5,25,https://www.tiktok.com/@sofiewlholm/video/7601494033352887574
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7600679498589179158,2026-01-29,✨2016✨ Håret var længere og selvtilliden lavere - godt jeg havde muligheden for at blive et år ældre inden gymnasiet. Skulle vi ikke sikre at alle har den mulighed??  #skolevalg #politik,2568,76,0,2,5,https://www.tiktok.com/@sofiewlholm/video/7600679498589179158
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7596046913942637846,2026-01-16,"Jeg filmede en ✨day in my life✨ til vores første møde i regionsrådet. Klippede det hele og ventede 1,5 uge før jeg tog mig sammen til at lave Voiceover - men nu er den her!  Og hvis i nu kunne tænke jer at høre hvad arbejdet faktisk går ud på så sig ",934,49,4,2,4,https://www.tiktok.com/@sofiewlholm/video/7596046913942637846
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7580300063512120579,2025-12-05,The call is coming from inside the house🫠,2795,120,4,0,2,https://www.tiktok.com/@sofiewlholm/video/7580300063512120579
20260330_193550_a14bfb,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,7573766331686784278,2025-11-17,De har det heldigvis dejligt i inkubatoren ved præcis 37 grader og 5% ilt🧫🫶,1517,57,0,5,4,https://www.tiktok.com/@sofiewlholm/video/7573766331686784278
