run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,tobias.b.mikkelsen,Tobias Brus Mikkelsen,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7620734495431396630,2026-03-24,"DET VAR DEN VALGKAMP, HUSK & STEM!🇩🇰 -STEM BRUS PÅ BORGEN!🇩🇰 #DanskFolkeparti #Sønderborg #fyp #danskfolkepartisungdom #sønderjylland ",1576,24,1,1,2,https://www.tiktok.com/@tobias.b.mikkelsen/video/7620734495431396630
20260330_193550_a14bfb,tobias.b.mikkelsen,Tobias Brus Mikkelsen,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7619679353558863126,2026-03-21,EN TUR FORBI RADIO ALS🇩🇰 -STEM BRUS PÅ BORGEN! #DanskFolkeparti #Sønderborg #fyp #danskfolkepartisungdom #sønderjylland ,746,11,1,0,3,https://www.tiktok.com/@tobias.b.mikkelsen/video/7619679353558863126
20260330_193550_a14bfb,tobias.b.mikkelsen,Tobias Brus Mikkelsen,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7618119790967704854,2026-03-17,NEJ TIL FORMUESKATTEN! -STEM BRUS PÅ BORGEN! #DanskFolkeparti #Sønderborg #fyp #danskfolkepartisungdom #sønderjylland ,883,14,1,1,3,https://www.tiktok.com/@tobias.b.mikkelsen/video/7618119790967704854
20260330_193550_a14bfb,tobias.b.mikkelsen,Tobias Brus Mikkelsen,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7617561994614410518,2026-03-15,Rent Drikkevand! Skal vi gøre noget ved det? -Stem BRUS på Borgen! #DanskFolkeparti #Sønderborg #fyp #danskfolkepartisungdom #sønderjylland ,2266,17,1,5,2,https://www.tiktok.com/@tobias.b.mikkelsen/video/7617561994614410518
20260330_193550_a14bfb,tobias.b.mikkelsen,Tobias Brus Mikkelsen,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7615672210501422358,2026-03-10,Skal vi gøre noget ved det? -Stem Brus på Borgen!#DanskFolkeparti #Sønderborg #fyp #danskfolkepartisungdom #sønderjylland,1285,27,0,1,2,https://www.tiktok.com/@tobias.b.mikkelsen/video/7615672210501422358
20260330_193550_a14bfb,tobias.b.mikkelsen,Tobias Brus Mikkelsen,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7611432673575243030,2026-02-27,Jeg stiller op til Folketingsvalget i Sydjyllands storkreds🇩🇰 #DanskFolkeparti #Sønderborg #fyp #danskfolkepartisungdom ,1759,24,1,3,3,https://www.tiktok.com/@tobias.b.mikkelsen/video/7611432673575243030
20260330_193550_a14bfb,tobias.b.mikkelsen,Tobias Brus Mikkelsen,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7611078495162092822,2026-02-26,Lille klip fra igår aftes byrådsmøde🇩🇰 #DanskFolkeparti #Sønderborg #fyp #danskfolkepartisungdom #byrådsmedlem ,2167,22,0,1,2,https://www.tiktok.com/@tobias.b.mikkelsen/video/7611078495162092822
20260330_193550_a14bfb,tobias.b.mikkelsen,Tobias Brus Mikkelsen,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7601958446916816150,2026-02-01,Ned med intergrationsrådet! Intergration er ens eget ansvar!#DanskFolkeparti #Sønderborg #fyp #danskfolkepartisungdom #byrådsmedlem ,6270,52,1,2,9,https://www.tiktok.com/@tobias.b.mikkelsen/video/7601958446916816150
20260330_193550_a14bfb,tobias.b.mikkelsen,Tobias Brus Mikkelsen,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7578898466886176022,2025-12-01,TAK til alle jer🇩🇰 #fyp #DanskFolkeparti #Sønderborg #merebrusibyrådet #danskfolkepartisungdom ,1298,25,0,0,4,https://www.tiktok.com/@tobias.b.mikkelsen/video/7578898466886176022
20260330_193550_a14bfb,tobias.b.mikkelsen,Tobias Brus Mikkelsen,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7573377316978445590,2025-11-16,"Status på valgkampen, så HUSK og stem! HUSK stem personligt🇩🇰 #fyp #byrådskandidat #regionsrådkandidat #DanskFolkeparti #Sønderborg  ",2247,25,1,0,4,https://www.tiktok.com/@tobias.b.mikkelsen/video/7573377316978445590
