run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7611139457286278422,2026-02-26,Let’s goooooo😉💙 #danskpolitik #valg #folketinget #venstre #troelslundpoulsen ,97600,2235,86,467,126,https://www.tiktok.com/@venstredk/video/7611139457286278422
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7620795900025146646,2026-03-24,About last night📸💙 #folketingsvalg #danskpolitik #troelslundpoulsen #venstre #danmark ,13300,402,9,15,10,https://www.tiktok.com/@venstredk/video/7620795900025146646
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7620534150621039894,2026-03-23,"Når du hellere vil udskamme driftige danskere, end at gøre Danmark rigere🫠 #danskpolitik #folketingsvalg #troelslundpoulsen #debat #danmark ",50900,2562,33,96,158,https://www.tiktok.com/@venstredk/video/7620534150621039894
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7620369943774711062,2026-03-23,Ronaldo < Tronaldo😎 #danskpolitik #troelslundpoulsen #venstre #folketingsvalg #danmark ,142500,6023,53,1075,359,https://www.tiktok.com/@venstredk/video/7620369943774711062
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7620140195953790230,2026-03-22,😏 #venstre #politiktok #danskpolitik #folketingsvalg #troelslundpoulsen ,10400,285,4,19,8,https://www.tiktok.com/@venstredk/video/7620140195953790230
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7619706273046531350,2026-03-21,"Kære Mette, hvorfor vil du ikke tage passet fra typer som Tarek Osman?🤯 Stem blåt på tirsdag, hvis du vil være sikker på, at typer som Tarek Osman bliver udvist af Danmark. #danskpolitik #venstre #folketingsvalg #danmark #troelslundpoulsen ",17100,865,12,59,50,https://www.tiktok.com/@venstredk/video/7619706273046531350
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7619405088158797078,2026-03-20,Sikke en fredagsbar!🍻 #øl #løvenshule #iværksætter #venstre #danskpolitik ,3812,128,3,1,3,https://www.tiktok.com/@venstredk/video/7619405088158797078
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7619332522886876438,2026-03-20,Fint besøg af @Joachim Stender 💪 #biler #granturismo #troelslundpoulsen #venstre #danskpolitik ,4034,131,1,1,7,https://www.tiktok.com/@venstredk/video/7619332522886876438
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7619259246596607254,2026-03-20,Gourmet-Troels😚👌 #folketingsvalg #politiktok #venstre #troelslundpoulsen #danskpolitik ,2030,39,0,0,3,https://www.tiktok.com/@venstredk/video/7619259246596607254
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7619007695005175062,2026-03-19,Office-tour med Troels🤗 #folketingsvalg #dkpol #politiktok #danskpolitik #venstre ,35200,1757,13,70,85,https://www.tiktok.com/@venstredk/video/7619007695005175062
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7618925492963626243,2026-03-19,Har din person fremlagt en økonomisk plan?🕵️‍♀️ #politiktok #dkpol #folketingsvalg #venstre #danskpolitik ,60200,1886,12,85,64,https://www.tiktok.com/@venstredk/video/7618925492963626243
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7618555495686655254,2026-03-18,"Bedre til politik, end til TikTok🕺 #danskpolitik #venstre #folketingsvalg #politik #økonomi ",5198,171,6,3,3,https://www.tiktok.com/@venstredk/video/7618555495686655254
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7618249023811800323,2026-03-17,Til hverdag og hest🐴 Troels er klar😁 #danskpolitik #valg #venstre #troelslundpoulsen #hest ,5073,103,3,5,7,https://www.tiktok.com/@venstredk/video/7618249023811800323
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7618119810446003478,2026-03-17,"Vi vil gøre Danmark rigere!💙 Som det hidtil eneste parti, fremlagde vi i går en økonomisk plan, med store skattelettelser og store investeringer i vores kernevelfærd💪 #troelslundpoulsen #venstre #danskpolitik #folketingsvalg #debat ",22200,631,27,4,24,https://www.tiktok.com/@venstredk/video/7618119810446003478
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7616738752429378838,2026-03-13,Hvilken sportsvogn har Troels haft? @Joachim Stender #biler #granturismo #troelslundpoulsen #venstre #politik ,38200,1340,6,13,50,https://www.tiktok.com/@venstredk/video/7616738752429378838
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7616341530206407958,2026-03-12,Intet at være bange for her 🥷 #denmark #fyp #safety ,14800,360,20,47,16,https://www.tiktok.com/@venstredk/video/7616341530206407958
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7616312281231625494,2026-03-12,Troels er på busserne!!🚌  #king #folketingsvalget #venstre #vehicle ,6134,241,4,17,7,https://www.tiktok.com/@venstredk/video/7616312281231625494
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7616279462044323094,2026-03-12,Hvad har Danmark brug for?🔊 #folketingsvalg #danskpolitik #venstre #troelslundpoulsen #statsminister ,43500,1421,28,40,42,https://www.tiktok.com/@venstredk/video/7616279462044323094
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7615935962379537686,2026-03-11,💙🤝 #winner #politik #venstre #folketingsvalget ,4928,175,11,9,4,https://www.tiktok.com/@venstredk/video/7615935962379537686
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7615576692660194582,2026-03-10,New Troels unlocked🔓 #troelslundpoulsen #danskpolitik #folketingsvalg #folketingsvalg #fodbold ,18000,549,18,67,20,https://www.tiktok.com/@venstredk/video/7615576692660194582
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7615228964403055895,2026-03-09,Der er vidst ingen tvivl om gårsdagens resultater 👑 #king #winner #politik #venstre #valgkamp ,5463,228,8,14,9,https://www.tiktok.com/@venstredk/video/7615228964403055895
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7614911021647547670,2026-03-08,Handler en forsvarsminister selv ind?👀 @Joachim Stender #biler #granturismo #troelslundpoulsen #venstre #politik ,71800,2538,26,35,92,https://www.tiktok.com/@venstredk/video/7614911021647547670
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7614526268977007894,2026-03-07,Danmark i sikre… fødder⚽️ #troelslundpoulsen #danskpolitik #venstre #folketingsvalg #fodbold ,54200,1439,28,269,55,https://www.tiktok.com/@venstredk/video/7614526268977007894
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7614493593142709526,2026-03-07,Nothing but net⛹️‍♂️ #folketingsvalg #danskpolitik #troelslundpoulsen #venstre #valg ,3116,116,4,7,3,https://www.tiktok.com/@venstredk/video/7614493593142709526
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7614226086557240598,2026-03-06,Lyt til universet😌🧘‍♂️ #venstre #folketingsvalg #universe #folketingsvalg #danskpolitik ,3591,110,7,3,4,https://www.tiktok.com/@venstredk/video/7614226086557240598
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7614114110115974402,2026-03-06,another day at the office🫰 #troelslundpoulsen #folketingsvalg #venstre #danskpolitik #valgkamp ,4579,127,12,8,3,https://www.tiktok.com/@venstredk/video/7614114110115974402
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7613769477821451542,2026-03-05,Fang os på landevejene💨 #valgkamp #folketingsvalg #troelslundpoulsen #venstre #danskpolitik ,2785,80,4,8,8,https://www.tiktok.com/@venstredk/video/7613769477821451542
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7613496239807679766,2026-03-04,Tak for lån 3.B🫶 #troelslundpoulsen #danskpolitik #folketingsvalg #skole #klasse ,26400,408,15,9,19,https://www.tiktok.com/@venstredk/video/7613496239807679766
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7613405992939719958,2026-03-04,Danmarks sikreste hænder🙌🏼 #troelslundpoulsen #venstre #danskpolitik #valg #folketingsvalg ,36400,1867,33,281,69,https://www.tiktok.com/@venstredk/video/7613405992939719958
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7613029708296506646,2026-03-03,Mette Frederiksen er gået rent rødt og vil have flere skatter og afgifter. Det er vi lodret imod! #danskpolitik #mette #troelslundpoulsen #venstre #valg ,12400,306,22,7,16,https://www.tiktok.com/@venstredk/video/7613029708296506646
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7612660543320493334,2026-03-02,Har i spottet nogle af de her plakater rundt omkring?👀 #folketingsvalg #venstre #troelslundpoulsen #danskpolitik #valgplakat ,3708,113,6,1,0,https://www.tiktok.com/@venstredk/video/7612660543320493334
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7612008552277757206,2026-02-28,Så er der fest i den blå partybus! #troelslundpoulsen #mortenmesserschmidt #danskfolkeparti #valg #danskpolitik ,32900,1208,12,69,51,https://www.tiktok.com/@venstredk/video/7612008552277757206
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7611940646747770134,2026-02-28,💙💙💙 #venstre #troelslundpoulsen #folketingsvalg #danskpolitik #dkpol ,70600,2328,57,45,99,https://www.tiktok.com/@venstredk/video/7611940646747770134
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7611487146528017686,2026-02-27,Last night was a movie🎞️💙 #troelslundpoulsen #venstre #folketingsvalg #partilederdebat #danskpolitik @Venstres Ungdom ,4491,201,5,11,9,https://www.tiktok.com/@venstredk/video/7611487146528017686
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7611270153044528406,2026-02-26,🫳🎤 #troelslundpoulsen #venstre #folketingsvalg #forsvaret #ukraine ,11400,334,16,3,13,https://www.tiktok.com/@venstredk/video/7611270153044528406
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7611241423631027478,2026-02-26,First blood. #troelslundpoulsen #venstre #valg #rambo #debat ,5636,94,10,53,15,https://www.tiktok.com/@venstredk/video/7611241423631027478
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7610792263509183766,2026-02-25,Lars Løkke 🤝 Enhedslisten #politik #enhedslisten #larsløkke #venstre #bolig ,6593,178,3,3,6,https://www.tiktok.com/@venstredk/video/7610792263509183766
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7610457957528079639,2026-02-24,It’s a full time job😮‍💨 #politik #venstre #troelslundpoulsen #bolig #skat ,20700,405,15,35,25,https://www.tiktok.com/@venstredk/video/7610457957528079639
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7608199351130770710,2026-02-18,Sød musik i alle boligejeres ører🎵👂 #danskpolitik #venstre #troelslundpoulsen #bolig #skat ,3425,146,2,6,3,https://www.tiktok.com/@venstredk/video/7608199351130770710
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7606366626698497302,2026-02-13,"Dem, der kører ud for at redde os andre, skal ikke frygte at miste kørekortet🙅‍♀️ #danskpolitik #venstre #ambulance #trafik #kørekort ",71200,3122,13,68,173,https://www.tiktok.com/@venstredk/video/7606366626698497302
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7605270139403078934,2026-02-10,Vil du vide hvor mange ekstra penge du får mellem hænderne? Tjek borgerlige-resultater.dk 😉,11700,147,16,9,25,https://www.tiktok.com/@venstredk/video/7605270139403078934
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7604867572453870870,2026-02-09,Et kig i kamerarullen🇬🇱 #grønland #troelslundpoulsen #venstre #danskpolitik #nuuk ,3159,109,2,0,0,https://www.tiktok.com/@venstredk/video/7604867572453870870
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7604511233647168790,2026-02-08,Hvad ville du bruge 15.530 kr. på?💸 #danskpolitik #penge #venstre #dkpol #supermarked ,46400,710,62,33,26,https://www.tiktok.com/@venstredk/video/7604511233647168790
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7603714676760792323,2026-02-06,Watch out voldsmænd👀 Preben har lavet en ny reform👊 #danskpolitik #dkpol #venstre #kriminelle #folketinget ,2574,114,9,3,5,https://www.tiktok.com/@venstredk/video/7603714676760792323
20260330_193550_a14bfb,venstredk,Venstre,Venstre,Landsplan,parti_national,7601970899901762838,2026-02-01,Vi kan være stolte af vores danske soldater🇩🇰🇬🇱 #grønland #forsvaret #militæret #troelslundpoulsen #venstre ,1160,53,0,0,0,https://www.tiktok.com/@venstredk/video/7601970899901762838
