timestamp,tiktok_handle,display_name,existing_video_count,first_page_links,recent_first_page,old_first_page,should_retry,reason
2026-03-31 14:57:08,anette.jensen.smi,Anette Jensen Smith,1,1,1,0,0,Ingen tydelig pinned-old situation
2026-03-31 14:57:39,anette.jensen.smi,Anette Jensen Smith,1,1,1,0,0,Ingen tydelig pinned-old situation
2026-03-31 14:58:28,stemstokholm,Kristian Stokholm,1,12,1,11,1,Både gamle og nye videoer på første side
2026-03-31 14:59:06,svends047,Svend Stein Olsen,1,1,1,0,0,Ingen tydelig pinned-old situation
2026-03-31 14:59:41,zenia.stampe,Zenia Stampe,1,1,1,0,0,Ingen tydelig pinned-old situation
2026-03-31 15:00:19,barbarakrarup,Barbara Krarup Hansen,2,,,,,PROBE_ERROR: Kunne ikke loade profilen stabilt til first-page probe
2026-03-31 15:01:08,anette.jensen.smi,Anette Jensen Smith,1,,,,,PROBE_ERROR: Kunne ikke loade profilen stabilt til first-page probe
2026-03-31 15:02:56,stemstokholm,Kristian Stokholm,1,,,,,PROBE_ERROR: Kunne ikke loade profilen stabilt til first-page probe
2026-03-31 15:04:17,svends047,Svend Stein Olsen,1,,,,,PROBE_ERROR: Kunne ikke loade profilen stabilt til first-page probe
2026-03-31 15:05:36,zenia.stampe,Zenia Stampe,1,,,,,PROBE_ERROR: Kunne ikke loade profilen stabilt til first-page probe
2026-03-31 15:07:35,barbarakrarup,Barbara Krarup Hansen,2,,,,,PROBE_ERROR: Kunne ikke loade profilen stabilt til first-page probe
2026-03-31 15:08:56,malenesandfeld,Malene Sandfeld,2,,,,,PROBE_ERROR: Kunne ikke loade profilen stabilt til first-page probe
2026-03-31 15:10:46,mortenhogh_venstre,Morten Høgh,2,,,,,PROBE_ERROR: Kunne ikke loade profilen stabilt til first-page probe
2026-04-01 00:10:06,nadjaisaksen,Nadja Natalie Isaksen,3,,,,,PROBE_ERROR: Kunne ikke loade profilen stabilt til first-page probe
2026-04-01 00:12:17,reza_javid,Reza Javid,3,27,3,24,1,Både gamle og nye videoer på første side
2026-04-01 00:14:27,venstre_odense,Venstre Odense,3,18,3,15,1,Både gamle og nye videoer på første side
2026-04-01 00:16:54,brownlouise,Louise Brown,4,15,4,11,1,Både gamle og nye videoer på første side
2026-04-01 00:19:07,dfnyheder,DFNyheder,4,10,4,6,1,Både gamle og nye videoer på første side
2026-04-01 00:20:59,dsu_snderborg,DSU Sønderborg,4,4,4,0,0,Ingen tydelig pinned-old situation
2026-04-01 00:22:21,leila.stockmarr,Leila Stockmarr,4,4,4,0,0,Ingen tydelig pinned-old situation
2026-04-01 00:24:21,runebonnelykke,Rune Bønnelykke,4,26,4,22,1,Både gamle og nye videoer på første side
2026-04-01 00:26:52,leneburchardt,Lene Burchardt,5,26,5,21,1,Både gamle og nye videoer på første side
2026-04-01 02:15:37,danskfolkeparti,Dansk Folkeparti,30,32,30,2,1,Både gamle og nye videoer på første side
2026-04-01 02:18:03,hediyedptemiz,Hediye Temiz,30,27,27,0,0,Ingen tydelig pinned-old situation
2026-04-01 02:20:29,madsolsensf,Mads Olsen,30,32,30,2,1,Både gamle og nye videoer på første side
2026-04-01 02:23:10,madsstrange_,Mads Strange,30,31,30,1,1,Både gamle og nye videoer på første side
2026-04-01 02:25:38,sofiemosgaard,Sofie Mosgaard,30,31,30,1,1,Både gamle og nye videoer på første side
2026-04-01 02:28:26,amandaheitmann,Amanda Heitmann,31,33,31,2,1,Både gamle og nye videoer på første side
2026-04-01 02:31:04,frederikhoumannth,Frederik Houmann Thuesen,31,32,31,1,1,Både gamle og nye videoer på første side
2026-04-01 02:33:44,idaauken,Ida Auken,31,32,31,1,1,Både gamle og nye videoer på første side
2026-04-01 02:36:17,mathiassikora,Mathias Sikora,31,32,31,1,1,Både gamle og nye videoer på første side
2026-04-01 02:38:30,morten.srensen16,Morten Sørensen,31,27,27,0,0,Ingen tydelig pinned-old situation
2026-04-01 02:40:56,carina.til.folketinget,Carina Høedt,32,31,31,0,0,Ingen tydelig pinned-old situation
2026-04-01 02:42:10,emilslothandersen,Emil Sloth,32,,,,,PROBE_ERROR: Kunne ikke loade profilen stabilt til first-page probe
2026-04-01 02:44:13,larschristianbrask,Lars-Christian Brask,32,,,,,PROBE_ERROR: Kunne ikke loade profilen stabilt til first-page probe
2026-04-01 02:46:12,sofielippert,Sofie Lippert,32,,,,,PROBE_ERROR: Kunne ikke loade profilen stabilt til first-page probe
2026-04-01 02:48:26,thomasandresen_venstre,Thomas Andresen,32,,,,,PROBE_ERROR: Kunne ikke loade profilen stabilt til first-page probe
2026-04-01 02:49:35,danskfolkeparti,Dansk Folkeparti,30,,,,1,RETRY_ERROR: Kunne ikke loade profilen stabilt til retry-scrape
2026-04-01 02:51:48,madsolsensf,Mads Olsen,30,,,,1,RETRY_ERROR: Kunne ikke loade profilen stabilt til retry-scrape
2026-04-01 02:53:30,madsstrange_,Mads Strange,30,,,,1,RETRY_ERROR: Kunne ikke loade profilen stabilt til retry-scrape
2026-04-01 02:55:13,sofiemosgaard,Sofie Mosgaard,30,,,,1,RETRY_ERROR: Kunne ikke loade profilen stabilt til retry-scrape
2026-04-01 02:57:03,amandaheitmann,Amanda Heitmann,31,,,,1,RETRY_ERROR: Kunne ikke loade profilen stabilt til retry-scrape
2026-04-01 02:58:10,frederikhoumannth,Frederik Houmann Thuesen,31,,,,1,RETRY_ERROR: Kunne ikke loade profilen stabilt til retry-scrape
2026-04-01 03:00:16,idaauken,Ida Auken,31,,,,1,RETRY_ERROR: Kunne ikke loade profilen stabilt til retry-scrape
2026-04-01 03:02:09,mathiassikora,Mathias Sikora,31,,,,1,RETRY_ERROR: Kunne ikke loade profilen stabilt til retry-scrape
