run_id,tiktok_handle,display_name,party_name,account_type,følgere,samlet_likes,antal_videoer,hentet_dato
20260330_193550_a14bfb,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,67500,710200,77,2026-03-30
20260330_193550_a14bfb,alexanderryle,Alexander Ryle,Liberal Alliance,kandidat,969,23300,59,2026-03-30
20260330_193550_a14bfb,realallanfeldt,Allan Feldt,Dansk Folkeparti,kandidat,4931,147900,133,2026-03-30
20260330_193550_a14bfb,amandaheitmann,Amanda Heitmann,Venstre,kandidat,2393,569000,131,2026-03-30
20260330_193550_a14bfb,anastasia_milthers,Anastasia Milthers,Radikale Venstre,kandidat,1189,46500,96,2026-03-30
20260330_193550_a14bfb,kronborg1982,Anders Kronborg,Socialdemokratiet,kandidat,406,11300,108,2026-03-30
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,kandidat,112,819,26,2026-03-30
20260330_193550_a14bfb,andersvistisen,Anders Vistisen,Dansk Folkeparti,kandidat,5677,173500,136,2026-03-30
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,kandidat,300,14300,122,2026-03-30
20260330_193550_a14bfb,anette.jensen.smi,Anette Jensen Smith,Alternativet,kandidat,0,5,1,2026-03-30
20260330_193550_a14bfb,anjalund753,Anja Lund,Venstre,kandidat,74,190,5,2026-03-30
20260330_193550_a14bfb,annesophierv,Anne Sophie Callesen,Radikale Venstre,kandidat,420,17200,46,2026-03-30
20260330_193550_a14bfb,ayhankilic_moderaterne,Ayhan Kilic,Moderaterne,kandidat,230,4211,51,2026-03-30
20260330_193550_a14bfb,barbarakrarup,Barbara Krarup Hansen,Radikale Venstre,kandidat,474,948,67,2026-03-30
20260330_193550_a14bfb,betinakastbjerg,Betina Kastbjerg,Danmarksdemokraterne - Inger Støjberg,kandidat,38,54,2,2026-03-30
20260330_193550_a14bfb,bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,kandidat,145,2427,39,2026-03-30
20260330_193550_a14bfb,carina.til.folketinget,Carina Høedt,Det Konservative Folkeparti,kandidat,81,3024,36,2026-03-30
20260330_193550_a14bfb,carlandersen27,Carl Andersen,Liberal Alliance,kandidat,783,7218,89,2026-03-30
